specimen_id,strut_id,profile_samples,profile_relative_mean,profile_relative_min,profile_relative_std,profile_fraction_below_80pct,profile_longest_run_below_80pct,profile_max_absolute_step,profile_minimum_position,ct_defect_score,ct_severity_layer,sequence_semantics,is_true_time_series
0.5-1,0,31,0.9244092100297506,0.8223933507940818,0.044757691190235885,0.0,0,0.020291837545320157,0.12,0.08324,supported,position_along_strut_not_time,0
0.5-1,1,31,0.9604180233302725,0.9485891795256659,0.01554260049740236,0.0,0,0.030726881909159065,0.576,0.033584,supported,position_along_strut_not_time,0
0.5-1,2,31,0.9564954614959327,0.9438897186656949,0.007664206698953642,0.0,0,0.01765854118656318,0.6013333333333333,0.036833,supported,position_along_strut_not_time,0
0.5-1,3,31,0.9788031844957857,0.9595848618997129,0.010847553426586094,0.0,0,0.02080129816070264,0.12,0.020853,supported,position_along_strut_not_time,0
0.5-1,4,31,0.8276563127727122,0.769261032159116,0.022748695838996236,0.16129032258064516,5,0.022645924163713027,0.12,0.14995,watch,position_along_strut_not_time,0
0.5-1,5,31,0.7999187240856099,0.6692097185838145,0.053284870412957645,0.4838709677419355,12,0.04550406506219706,0.12,0.192012,moderate,position_along_strut_not_time,0
0.5-1,6,31,1.0229528836238972,0.9734288359256701,0.025214078918616743,0.0,0,0.04577913389509569,0.12,0.0,supported,position_along_strut_not_time,0
0.5-1,7,31,1.0237282854539078,0.8316084566555318,0.09087890897374044,0.0,0,0.07067900036014263,0.88,0.022779,supported,position_along_strut_not_time,0
0.5-1,8,31,0.9247619150896113,0.8365373257657479,0.04141464493742149,0.0,0,0.0419649986435815,0.12,0.079674,supported,position_along_strut_not_time,0
0.5-1,9,31,0.8559583785560854,0.7554756099718921,0.051084249354839656,0.16129032258064516,5,0.07322989765514143,0.7026666666666667,0.138179,watch,position_along_strut_not_time,0
0.5-1,10,31,0.7312528838226996,0.7187646361117409,0.01783052219516671,0.967741935483871,30,0.06093169360220718,0.424,0.21338,high,position_along_strut_not_time,0
0.5-1,11,31,1.0986354997132926,1.066357553570106,0.02375501839150349,0.0,0,0.02465295867424344,0.5506666666666666,0.0,supported,position_along_strut_not_time,0
0.5-1,12,31,1.137056622146954,1.0859432800571602,0.03685011376479597,0.0,0,0.04757918721815524,0.5506666666666666,0.0,supported,position_along_strut_not_time,0
