specimen_id,strut_id,within_specimen_anomaly,within_specimen_anomaly_score,pooled_anomaly,pooled_anomaly_score,two_model_consensus
0.5-1,0,False,-0.13987076172177992,False,-0.13987076172177992,False
0.5-1,1,False,-0.10762900238414952,False,-0.10762900238414952,False
0.5-1,2,False,-0.08345184582272924,False,-0.08345184582272924,False
0.5-1,3,False,-0.14224575770122294,False,-0.14224575770122294,False
0.5-1,4,False,-0.10345384847218952,False,-0.10345384847218952,False
0.5-1,5,False,-0.038121988737549906,False,-0.038121988737549906,False
0.5-1,6,False,-0.15264358462736788,False,-0.15264358462736788,False
0.5-1,7,False,-0.08858645576336943,False,-0.08858645576336943,False
0.5-1,8,False,-0.16242225110860636,False,-0.16242225110860636,False
0.5-1,9,False,-0.12549519125870662,False,-0.12549519125870662,False
0.5-1,10,False,-0.021754074695809256,False,-0.021754074695809256,False
0.5-1,11,False,-0.1468887977270601,False,-0.1468887977270601,False
0.5-1,12,False,-0.18586999117149106,False,-0.18586999117149106,False
0.5-1,13,False,-0.10010801774947531,False,-0.10010801774947531,False
0.5-1,14,False,-0.16896025761184463,False,-0.16896025761184463,False
0.5-1,15,False,-0.10473824538115295,False,-0.10473824538115295,False
0.5-1,16,False,-0.168975739063627,False,-0.168975739063627,False
0.5-1,17,False,-0.15205334898204192,False,-0.15205334898204192,False
0.5-1,18,False,-0.17039155965577168,False,-0.17039155965577168,False
0.5-1,19,False,-0.0940809207155926,False,-0.0940809207155926,False
0.5-1,20,False,-0.17543962974868071,False,-0.17543962974868071,False
0.5-1,21,False,-0.19924594323777972,False,-0.19924594323777972,False
0.5-1,22,False,-0.16922110912124927,False,-0.16922110912124927,False
0.5-1,23,False,-0.1532883731368231,False,-0.1532883731368231,False
0.5-1,24,False,-0.10480133544412251,False,-0.10480133544412251,False
0.5-1,25,False,-0.0968068812296965,False,-0.0968068812296965,False
0.5-1,26,False,-0.07724263810737875,False,-0.07724263810737875,False
0.5-1,27,False,-0.1055514323414869,False,-0.1055514323414869,False
0.5-1,28,False,-0.1542616987197481,False,-0.1542616987197481,False
0.5-1,29,False,-0.1505368799486584,False,-0.1505368799486584,False
0.5-1,30,False,-0.17215357599536335,False,-0.17215357599536335,False
0.5-1,31,False,-0.20507186488792534,False,-0.20507186488792534,False
0.5-1,32,False,-0.14979567736712213,False,-0.14979567736712213,False
0.5-1,33,False,-0.1487538891921849,False,-0.1487538891921849,False
0.5-1,34,False,-0.19056767140753927,False,-0.19056767140753927,False
0.5-1,35,False,-0.15194136760110677,False,-0.15194136760110677,False
0.5-1,36,False,-0.17122285425999967,False,-0.17122285425999967,False
0.5-1,37,False,-0.1069297373613981,False,-0.1069297373613981,False
0.5-1,38,False,-0.1774413901902624,False,-0.1774413901902624,False
0.5-1,39,False,-0.10544447913375943,False,-0.10544447913375943,False
0.5-1,40,False,-0.15081436469704906,False,-0.15081436469704906,False
0.5-1,41,False,-0.14980492460260536,False,-0.14980492460260536,False
0.5-1,42,False,-0.16196604896134204,False,-0.16196604896134204,False
0.5-1,43,False,-0.09949303441482993,False,-0.09949303441482993,False
0.5-1,44,False,-0.177542741267682,False,-0.177542741267682,False
0.5-1,45,False,-0.19305810110856336,False,-0.19305810110856336,False
0.5-1,46,False,-0.17737239693729218,False,-0.17737239693729218,False
0.5-1,47,False,-0.15448277732068372,False,-0.15448277732068372,False
0.5-1,48,False,-0.1022525824923407,False,-0.1022525824923407,False
0.5-1,49,False,-0.098830418313683,False,-0.098830418313683,False
0.5-1,50,False,-0.07248611636035185,False,-0.07248611636035185,False
0.5-1,51,False,-0.1088882450572527,False,-0.1088882450572527,False
0.5-1,52,False,-0.15354232118319316,False,-0.15354232118319316,False
0.5-1,53,False,-0.1573857429945102,False,-0.1573857429945102,False
0.5-1,54,False,-0.17048294568564054,False,-0.17048294568564054,False
0.5-1,55,False,-0.20267929550091568,False,-0.20267929550091568,False
0.5-1,56,False,-0.1405956269714705,False,-0.1405956269714705,False
0.5-1,57,False,-0.1461753167951308,False,-0.1461753167951308,False
0.5-1,58,False,-0.17344465519010643,False,-0.17344465519010643,False
0.5-1,59,False,-0.15228785167674863,False,-0.15228785167674863,False
0.5-1,60,False,-0.16789277467204605,False,-0.16789277467204605,False
0.5-1,61,False,-0.10951286448501063,False,-0.10951286448501063,False
0.5-1,62,False,-0.17902478083281664,False,-0.17902478083281664,False
0.5-1,63,False,-0.11449547012218703,False,-0.11449547012218703,False
0.5-1,64,False,-0.1472435128839792,False,-0.1472435128839792,False
0.5-1,65,False,-0.14690582976636174,False,-0.14690582976636174,False
0.5-1,66,False,-0.16122509504820925,False,-0.16122509504820925,False
0.5-1,67,False,-0.10350164169179044,False,-0.10350164169179044,False
0.5-1,68,False,-0.173976770278647,False,-0.173976770278647,False
0.5-1,69,False,-0.19343655803575482,False,-0.19343655803575482,False
0.5-1,70,False,-0.17191233531836275,False,-0.17191233531836275,False
0.5-1,71,False,-0.15251220409837202,False,-0.15251220409837202,False
0.5-1,72,False,-0.09162662565930335,False,-0.09162662565930335,False
0.5-1,73,False,-0.09438370740904078,False,-0.09438370740904078,False
0.5-1,74,False,-0.0796706420638843,False,-0.0796706420638843,False
0.5-1,75,False,-0.10442623093907322,False,-0.10442623093907322,False
0.5-1,76,False,-0.1541225480904163,False,-0.1541225480904163,False
0.5-1,77,False,-0.15361221181928275,False,-0.15361221181928275,False
0.5-1,78,False,-0.16723458066019847,False,-0.16723458066019847,False
0.5-1,79,False,-0.20097632876715443,False,-0.20097632876715443,False
0.5-1,80,False,-0.145215340033773,False,-0.145215340033773,False
0.5-1,81,False,-0.12582376393391254,False,-0.12582376393391254,False
0.5-1,82,False,-0.1659337647791817,False,-0.1659337647791817,False
0.5-1,83,False,-0.16244529904201271,False,-0.16244529904201271,False
0.5-1,84,False,-0.16542507626992448,False,-0.16542507626992448,False
0.5-1,85,False,-0.09372846193458728,False,-0.09372846193458728,False
0.5-1,86,False,-0.1785039817205074,False,-0.1785039817205074,False
0.5-1,87,False,-0.0901918861819132,False,-0.0901918861819132,False
0.5-1,88,False,-0.1646483764045426,False,-0.1646483764045426,False
0.5-1,89,False,-0.13855827954348204,False,-0.13855827954348204,False
0.5-1,90,False,-0.14281110223781895,False,-0.14281110223781895,False
0.5-1,91,False,-0.10213095865405686,False,-0.10213095865405686,False
0.5-1,92,False,-0.17500231336415983,False,-0.17500231336415983,False
0.5-1,93,False,-0.1934454542701396,False,-0.1934454542701396,False
0.5-1,94,False,-0.18212630546103897,False,-0.18212630546103897,False
