node_id,degree,peak_local_diameter_original_voxels,robust_local_diameter_original_voxels,incident_edge_diameter_contrast,node_to_strut_diameter_ratio,incident_edge_count_with_diameter
1,3,58.78775405883789,40.0,1.118075174919498,1.5590375874597489,2
2,3,58.24087905883789,40.79215621948242,0.10526315789473684,1.0734777952495373,2
3,4,58.78775405883789,40.79215621948242,0.22836035883378367,1.0,3
4,3,61.44916534423828,41.569217681884766,0.18321599960327148,1.0392304420471192,3
5,3,58.24087905883789,40.79215621948242,,1.0198039054870605,1
6,3,58.24087905883789,40.0,0.0,1.0,2
7,4,60.39867401123047,41.569217681884766,0.6198039054870605,1.0392304420471192,3
8,3,51.22499465942383,32.98484420776367,,4.123105525970459,1
9,3,72.88346862792969,53.06599807739258,0.9822092921129777,1.1375929885139435,3
10,3,58.78775405883789,40.79215621948242,0.009853169932009905,1.0147797548980149,2
11,3,58.24087905883789,40.0,0.7954752591290026,0.9805806730288975,3
12,3,70.19971466064453,50.59644317626953,0.1741502239097657,1.0397504703100653,3
13,3,64.9923095703125,48.0,0.4258807136559822,1.1805894647580133,2
14,3,72.44308471679688,53.66563034057617,0.3111114677006019,1.1259078142625294,3
15,3,73.75635528564453,56.0,0.9454123741882893,2.1759476494179717,3
16,3,60.39867401123047,40.79215621948242,0.009853169932009905,1.0147797548980149,2
17,3,73.75635528564453,56.0,0.039750470310065206,1.1507928755883874,3
18,5,72.0,51.22499465942383,0.040936095987849204,1.052948220909118,4
19,3,72.44308471679688,56.0,1.2800761990058678,2.336953751878917,3
20,3,72.44308471679688,53.06599807739258,0.02000200629031021,0.938130086852139,2
21,3,57.13142776489258,40.0,,0.8111071153884681,1
22,3,64.49806213378906,43.817806243896484,0.10660607952655637,0.9534626284352217,3
23,6,65.96968841552734,48.66210174560547,4.0961941563730715,4.301162839999686,5
24,3,58.24087905883789,40.0,,2.5,1
25,3,56.56854248046875,40.0,,1.5811388109099567,1
26,3,58.24087905883789,40.0,,,0
27,3,72.88346862792969,53.66563034057617,0.09220477013628689,1.018328246170232,2
28,3,72.44308471679688,56.0,5.029437300447647,5.79898993135999,3
29,3,74.18894958496094,57.13142776489258,0.010101267511168055,1.0150513901306875,2
30,3,62.992061614990234,43.817806243896484,,1.0540926360274425,1
